X,Y,FID,PERIMETER,PUBLICBL_I,FACILITY,FACILITY_C,ADDRESS,CITY,ZIPCODE,CLASS,MUNICODE
-79.9286000775666,40.3501967709946,32,0,123,West Mifflin Borough Building,,3000 Lebanon Church Rd,West Mifflin,15122,,870
-79.8679303318376,40.4036280682774,33,0,31,Braddock Borough Building,,415 Sixth St,Braddock,15104,,808
-80.1014130476941,40.4286687589351,34,0,124,Pennsbury Village Borough Building,,1043 Pennsbury Blvd,Pittsburgh,15205,,871
-79.8677908982932,40.4240112302829,35,0,125,Braddock Hills Borough Building,,1300 Brinton Rd,Pittsburgh,15221,,872
-80.0039949987105,40.2883082981034,36,0,60,South Park Township Building,,2675 Brownsville Rd,Library,15129,,945
-80.0877143283025,40.6397500807163,37,0,32,Bradford Woods Borough Building,,4908 Wexford Run Rd,Bradford Woods,15015,,809
-80.0725198064539,40.4845337395944,38,0,64,Stowe Township Building,,1301 Island Ave,McKees Rocks,15136,,949
-79.7600661472521,40.4260670016976,39,0,17,Crescent Township Building,,255 Spring Run Rd,Crescent,15046,,906
-79.8464167833551,40.3730874846529,40,0,128,Duquesne City Building,,12 S Second St,Duquesne,15110,,300
-79.7589880661514,40.6560769477016,41,0,20,Fawn Township Building,,3054 Howes Run Rd,Tarentum,15084,,909
-79.8664413527407,40.3514726408107,42,0,129,McKeesport City Building,,201 Lysle Blvd,McKeesport,15132,,400
-79.8532817679269,40.4459434751313,43,0,69,Churchill Borough Building,,2300 William Penn Hwy,Pittsburgh,15235,,816
-79.9160996595092,40.2018371545792,44,0,22,Forward Township Building,,500 Liggett Ave,Monongahela,15063,,911
-80.1113293374439,40.3600326083427,45,0,34,Bridgeville Borough,,425 Bower Hill Rd,Bridgeville,15017,,811
-79.7828613048222,40.43411043319,46,0,7,Monroeville Township Building,,2700 Monroeville Blvd,Monroeville,15146,,879
-79.7901416691698,40.5738225639886,47,0,23,Frazer Township Building,,2129 Butler-Logan Rd,Tarentum,15084,,913
-80.0078268680549,40.3673538556083,48,0,66,Castle Shannon Borough Building,,3310 McRoberts Rd,Pittsburgh,15234,,813
-79.8086586547018,40.5406882177013,49,0,37,Harmar Township Building,,701 Freeport Rd,Cheswick,15024,,915
-79.8380317159586,40.4081404573788,50,0,67,Chalfant Borough Building,,144 Lynnwood Ave,East Pittsburgh,15112,,814
-80.1638459643016,40.5173554238165,51,0,70,Coraopolis Borough Building,,1012 Fifth Ave,Coraopolis,15108,,817
-80.0242361572772,40.6192930138719,52,0,53,Pine Township,,230 Pearce Mill Rd,Wexford,15090,,935
-80.0465020377128,40.4182843658053,53,0,84,Green Tree Borough Building,,10 West Manilla Ave,Pittsburgh,15220,,831
-80.0890333028853,40.4072693623274,54,0,35,Carnegie Borough,,1 Glass St,Carnegie,15106,,812
-80.1201992041824,40.588714005904,55,0,10,Sewickley Hills Borough Building,,1165 Fairhill Rd,Sewickley,15143,,882
-79.9463968353076,40.6435528969426,56,0,55,Richland Township,,4011 Dickey Rd,Gibsonia,15044,,938
-80.0660016429675,40.4350351867905,57,0,71,Crafton Borough Building,,100 Stotz Ave,Pittsburgh,15205,,818
-79.9503628596634,40.3300210038051,58,0,1,Pleasant Hills Borough,,410 E Bruceton Rd,Pittsburgh,15236,,873
-80.0374176594173,40.3944176070795,59,0,72,Dormont Borough Building,,1444 Hillsdale Ave,Pittsburgh,15216,,819
-79.8908034907744,40.3477789057879,60,0,73,Dravosburg Borough Building,,226 Maple Ave,Dravosburg,15034,,820
-80.0727899107247,40.3353264928157,61,0,65,Upper St. Clair Township,,1820 McLaughlin Run Rd,Upper St Clair,15241,,950
