FID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,SHAPE_Leng,SHAPE_Area
16,15049,HARWICK,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.5559426871,-79.8056048109,26044.3530738,18921596.4784
17,15056,LEETSDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.5654593872,-80.2131638364,27616.2173351,29157141.2484
18,15063,MONONGAHELA,NON-UNIQUE,PA,42,42125,WASHINGTON,150,40.200639395,-79.9281727468,247233.204524,757864888.892
19,15064,MORGAN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.357046207,-80.147558284,28900.1324636,18995533.1689
20,15065,NATRONA HEIGHTS,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.6417459889,-79.7265203353,108365.365869,351666390.026
21,15068,NEW KENSINGTON,NON-UNIQUE,PA,42,42129,WESTMORELAND,150,40.5549440814,-79.7089586955,262083.544949,1292148185.76
22,15075,RURAL RIDGE,PO BOX,PA,42,42003,ALLEGHENY,150,40.6326112404,-79.8374752723,4524.57639163,986369.161404
23,15076,RUSSELLTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.6109096091,-79.8365082364,52634.6124268,32235049.4962
24,15082,STURGEON,PO BOX,PA,42,42003,ALLEGHENY,150,40.3808893642,-80.2131033322,12778.6635425,4384740.28737
25,15085,TRAFFORD,NON-UNIQUE,PA,42,42129,WESTMORELAND,150,40.3848121264,-79.7190463525,95677.0705186,261804238.794
26,15090,WEXFORD,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.6216588905,-80.0621859333,211993.557241,624299161.641
27,15106,CARNEGIE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.408876926,-80.1137737418,125983.383841,316311748.321
28,15110,DUQUESNE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3724309702,-79.8500584973,33483.3907548,56170668.4371
29,15112,EAST PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4060670083,-79.8387637851,30584.6594194,21799849.3891
30,15129,SOUTH PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.2937876757,-79.9950397028,85942.1974821,236623988.489
31,15131,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3251378253,-79.8033740315,95845.35787,198663264.542
32,15132,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3392329023,-79.8424045527,77810.5347219,172578970.565
33,15133,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3292454509,-79.8639612554,48021.8909544,71109743.3416
34,15135,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3021662768,-79.8146933251,65418.4824578,109088321.94
35,15137,NORTH VERSAILLES,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3780742073,-79.8087660448,111887.959435,222698878.046
36,15140,PITCAIRN,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4053808156,-79.775415982,25500.8490475,16776378.5131
37,15142,PRESTO,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.380401381,-80.1209932836,45737.2371554,63542396.731
38,15144,SPRINGDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.5465821245,-79.7853498167,45762.8992799,59969295.2683
39,15146,MONROEVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4269317447,-79.7591020097,146815.364638,535774655.483
40,15147,VERONA,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4968904043,-79.829861585,132209.450607,300731708.908
41,15148,WILMERDING,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3996391296,-79.810585022,62446.323309,45256013.184
42,15201,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4754027586,-79.9536848082,50776.9141595,76212449.2999
43,15203,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4258575819,-79.9751324556,52470.0573967,48713176.956
44,15206,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4668765487,-79.9155239956,74585.0221963,141537043.748
45,15207,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.3986458627,-79.9339355082,105096.174273,130685433.622
46,15208,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4537994557,-79.8994415197,42380.1451121,41849562.086
47,15209,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.5008486534,-79.9740264997,115472.571096,135214048.152
48,15210,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.406707998,-79.9853050859,96786.1361261,130502184.638
