FID,AREA,GRID_CODE,SQFT,ACRES,SQMI
3434,47068,5,47068,1.080533,0.001688333
3435,6724,6,6724,0.1543618,0.0002411903
3436,40344,14,40344,0.9261708,0.001447142
3437,6724,6,6724,0.1543618,0.0002411903
3438,6724,6,6724,0.1543618,0.0002411903
3439,13448,14,13448,0.3087236,0.0004823806
3440,13448,3,13448,0.3087236,0.0004823806
3441,53792,6,53792,1.234894,0.001929522
3442,40344,5,40344,0.9261708,0.001447142
3443,80688,6,80688,1.852342,0.002894284
3444,6724,14,6724,0.1543618,0.0002411903
3445,26896,5,26896,0.6174472,0.0009647612
3446,6724,6,6724,0.1543618,0.0002411903
3447,497576,6,497576,11.42277,0.01784808
3448,6724,3,6724,0.1543618,0.0002411903
3449,699296,6,699296,16.05363,0.0250838
3450,6724,4,6724,0.1543618,0.0002411903
3451,6724,6,6724,0.1543618,0.0002411903
3452,13448,4,13448,0.3087236,0.0004823806
3453,121032,2,121032,2.778512,0.004341425
3454,6724,14,6724,0.1543618,0.0002411903
3455,161376,6,161376,3.704683,0.005788567
3456,53792,14,53792,1.234894,0.001929522
3457,60516,6,60516,1.389256,0.002170712
3458,26896,3,26896,0.6174472,0.0009647612
3459,80688,5,80688,1.852342,0.002894284
3460,11646000,6,11646000,267.355,0.417742
3461,6724,5,6724,0.1543618,0.0002411903
3462,13448,6,13448,0.3087236,0.0004823806
3463,1129632,6,1129632,25.93278,0.04051997
3464,20172,5,20172,0.4630854,0.0007235709
3465,67240,5,67240,1.543618,0.002411903
3466,255512,6,255512,5.865748,0.009165231
3467,6724,6,6724,0.1543618,0.0002411903
3468,20172,2,20172,0.4630854,0.0007235709
3469,26896,5,26896,0.6174472,0.0009647612
3470,625332,14,625332,14.35565,0.0224307
3471,53792,6,53792,1.234894,0.001929522
3472,6724,5,6724,0.1543618,0.0002411903
3473,33620,2,33620,0.771809,0.001205952
3474,6724,5,6724,0.1543618,0.0002411903
3475,6724,6,6724,0.1543618,0.0002411903
3476,33620,5,33620,0.771809,0.001205952
3477,6724,6,6724,0.1543618,0.0002411903
3478,215168,5,215168,4.939578,0.00771809
3479,107584,5,107584,2.469789,0.003859045
3480,127756,14,127756,2.932874,0.004582616
3481,490852,5,490852,11.26841,0.01760689
3482,154652,10,154652,3.550321,0.005547376
3483,1566692,5,1566692,35.9663,0.05619735
3484,6724,6,6724,0.1543618,0.0002411903
3485,73964,5,73964,1.69798,0.002653094
3486,13448,6,13448,0.3087236,0.0004823806
3487,188272,5,188272,4.32213,0.006753328
3488,60516,6,60516,1.389256,0.002170712
3489,20172,6,20172,0.4630854,0.0007235709
3490,67240,14,67240,1.543618,0.002411903
3491,235340,14,235340,5.402663,0.008441661
3492,6724,5,6724,0.1543618,0.0002411903
3493,201720,14,201720,4.630854,0.00723571
3494,87412,5,87412,2.006703,0.003135473
3495,94136,6,94136,2.161065,0.003376664
3496,47068,6,47068,1.080533,0.001688333
3497,181548,5,181548,4.167768,0.006512138
3498,6724,5,6724,0.1543618,0.0002411903
3499,591712,5,591712,13.58384,0.02122475
3500,13448,6,13448,0.3087236,0.0004823806
3501,53792,5,53792,1.234894,0.001929522
3502,26896,6,26896,0.6174472,0.0009647612
3503,87412,5,87412,2.006703,0.003135473
3504,80688,5,80688,1.852342,0.002894284
3505,6724,5,6724,0.1543618,0.0002411903
3506,147928,5,147928,3.39596,0.005306188
3507,6724,4,6724,0.1543618,0.0002411903
3508,121032,5,121032,2.778512,0.004341425
3509,6724,5,6724,0.1543618,0.0002411903
3510,389992,6,389992,8.952985,0.01398904
3511,1304456,5,1304456,29.94619,0.04679092
3512,67240,3,67240,1.543618,0.002411903
3513,201720,5,201720,4.630854,0.00723571
3514,53792,6,53792,1.234894,0.001929522
3515,73964,5,73964,1.69798,0.002653094
3516,6724,3,6724,0.1543618,0.0002411903
3517,40344,5,40344,0.9261708,0.001447142
