FID,AREA,PERIMETER,INDEX_,INDEX_ID,TILE,TILENUM
59,16438508.441818,16366.200867808,925,537,0179,179
60,16401025.624267,16344.985375413,337,323,0727,727
61,16401021.490716,16344.983395648,338,275,0728,728
62,16438500.742965,16366.197246024,926,487,0236,236
63,16438506.526936,16366.200206107,927,437,0301,301
64,16401019.576459,16344.981949118,339,227,0729,729
65,16401029.741881,16344.986990014,340,183,0730,730
66,16438498.978049,16366.196822902,928,388,0374,374
67,16438483.715483,16366.189928348,929,339,0455,455
68,16403438.865888,16346.33845042,341,1543,0928,928
69,16438479.065198,16366.18766312,930,291,0544,544
70,16403303.50491,16346.262600868,342,1522,0811,811
71,16438486.320188,16366.192072487,931,243,0641,641
72,16403295.423117,16346.259766716,343,1499,0702,702
73,16440847.996869,16367.536144015,932,1577,1037,1037
74,16403276.169224,16346.250324873,344,1471,0601,601
75,16438462.125994,16366.179906504,933,200,0746,746
76,16403275.994332,16346.25060205,345,1438,0602,602
77,16440846.960037,16367.53407474,934,1559,0912,912
78,16403271.873171,16346.248549619,346,1400,0603,603
79,16438464.101398,16366.181480479,935,164,0859,859
80,16403258.136803,16346.242917425,347,1362,0604,604
81,16440782.37192,16367.496039273,936,1538,0795,795
82,16403252.437123,16346.24078837,348,1319,0605,605
83,16438311.095286,16366.095177889,937,132,0980,980
84,16403248.207441,16346.238488969,349,1274,0606,606
85,16438308.45367,16366.094932639,938,102,1109,1109
86,16403231.872584,16346.231427146,350,1228,0607,607
87,16440774.606754,16367.491254824,939,1515,0686,686
88,16403214.516705,16346.223378638,351,1182,0608,608
89,16440785.01317,16367.496936982,940,1487,0585,585
90,16403222.468518,16346.227697619,352,1130,0609,609
91,16440791.922263,16367.499039759,941,1454,0492,492
92,16403223.926933,16346.228603598,353,1078,0610,610
93,16440800.275309,16367.502809246,942,1416,0407,407
94,16403208.007964,16346.221122839,354,1025,0611,611
95,16440804.540113,16367.505383331,943,1378,0330,330
96,16403203.18868,16346.219509623,355,969,0612,612
97,16440815.072853,16367.509295704,944,1335,0261,261
98,16403196.304429,16346.216068251,356,911,0613,613
99,16440831.685536,16367.516872021,945,1290,0200,200
100,16403341.998039,16346.298952436,357,853,0614,614
101,16440828.936899,16367.515250083,946,1244,0147,147
102,16403338.166952,16346.29701761,358,796,0615,615
103,16440828.566035,16367.514917814,947,1198,0102,102
