X,Y,objectid,id_1,buff_dist,orig_fid,created_user,created_date,last_edited_user,last_edited_date,cid,st_area_shape_,st_length_shape_
-79.9174059889,40.4634461239,230,TS272,40,230,,,SDE,2015/08/11 14:08:34+00,83,0,0
-79.8945355294,40.4480120718,231,TS135,40,231,,,SDE,2015/08/11 14:08:33+00,28,0,0
-79.9347774086,40.4805882907,232,TS490,40,232,,,SDE,2015/08/11 14:08:39+00,361,0,0
-79.8907437406,40.4541003002,233,TS134,40,233,,,SDE,2015/08/11 14:08:33+00,15,0,0
-79.9371556184,40.4884292327,234,TS185,40,234,,,SDE,2015/08/11 14:08:39+00,362,0,0
-79.9584687773,40.4417683777,235,TS53,40,235,,,SDE,2015/08/11 14:08:36+00,174,0,0
-79.9956095437,40.4444564772,236,TS498,40,236,,,SDE,2015/08/11 14:08:38+00,304,0,0
-79.953333955,40.4539936018,237,TS65,40,237,,,SDE,2015/08/11 14:08:37+00,204,0,0
-79.93694836,40.4574165092,238,TS68,40,238,,,SDE,2015/08/11 14:08:37+00,211,0,0
-79.9103804519,40.4526300046,239,TS446,40,239,,,SDE,2015/08/11 14:08:34+00,48,0,0
-79.8955045727,40.487263742,240,TS620,40,240,,,SDE,2015/08/11 14:08:39+00,368,0,0
-79.9998838742,40.4424387791,241,TS430,40,241,,,SDE,2015/08/11 14:08:38+00,294,0,0
-79.9171753545,40.4422857728,242,TS98,40,242,,,SDE,2015/08/11 14:08:34+00,46,0,0
-79.9271513793,40.4196075508,243,TS92,40,243,,,SDE,2015/08/11 14:08:35+00,99,0,0
-79.9762651253,40.4285057755,244,TS632,40,244,,,SDE,2015/08/11 14:08:40+00,377,0,0
-79.941135226,40.4647451289,245,TS290,40,245,,,SDE,2015/08/11 14:08:34+00,63,0,0
-79.9591688506,40.4412658918,246,TS591,40,246,,,SDE,2015/08/11 14:08:36+00,172,0,0
-79.9289795982,40.4587580907,247,TS648,40,247,,,SDE,2015/08/11 14:08:39+00,350,0,0
-79.9277143077,40.4380392674,248,TS341,40,248,,,SDE,2015/08/11 14:08:35+00,113,0,0
-79.9228796593,40.4360217383,249,TS62,40,249,,,SDE,2015/08/11 14:08:35+00,116,0,0
-79.8992560092,40.4560354892,250,TS412,40,250,,,SDE,2015/08/11 14:08:33+00,24,0,0
-79.996415063,40.3879584304,251,TS288,40,251,,,SDE,2015/08/11 14:08:40+00,411,0,0
-79.9539404077,40.4450108416,252,TS302,40,252,,,SDE,2015/08/11 14:08:36+00,184,0,0
-79.9955980291,40.4389958248,253,TS587,40,253,,,SDE,2015/08/11 14:08:38+00,260,0,0
-80.034804882,40.4409179111,254,TS452,40,254,,,SDE,2015/08/11 14:08:41+00,445,0,0
-79.9521361154,40.443535878,255,TS336,40,255,,,SDE,2015/08/11 14:08:36+00,183,0,0
-79.8856484972,40.4540265491,256,TS113,40,256,,,SDE,2015/08/11 14:08:33+00,9,0,0
-80.0177375096,40.3921160834,257,TS156,40,257,,,SDE,2015/08/11 14:08:41+00,427,0,0
-79.9672138155,40.4626735671,258,TS182,40,258,,,SDE,2015/08/11 14:08:39+00,331,0,0
-79.9734580095,40.4371489131,259,TS139,40,259,,,SDE,2015/08/11 14:08:37+00,232,0,0
-79.9977175573,40.4397404555,260,TS227,40,260,,,SDE,2015/08/11 14:08:37+00,250,0,0
-79.9409483307,40.4513159693,261,TS32,40,261,,,SDE,2015/08/11 14:08:36+00,158,0,0
-79.9631114962,40.4371088181,262,TS243,40,262,,,SDE,2015/08/11 14:08:36+00,167,0,0
-79.9286521012,40.4232066862,263,TS443,40,263,,,SDE,2015/08/11 14:08:35+00,100,0,0
-80.0188001402,40.4053549226,264,TS193,40,264,,,SDE,2015/08/11 14:08:40+00,420,0,0
-79.9973244653,40.394484233,265,TS38,40,265,,,SDE,2015/08/11 14:08:40+00,408,0,0
-79.937604449,40.4426648841,266,TS328,40,266,,,SDE,2015/08/11 14:08:36+00,150,0,0
-79.9977316069,40.4414564467,267,TS531,40,267,,,SDE,2015/08/11 14:08:38+00,308,0,0
