OBJECTID_1,OBJECTID,TNODE_,LPOLY_,RPOLY_,LENGTH,STREETCL_,STREETCL_I,PREFIX,NAME,TYPE,SUFFIX,STREETNAME,ALTERNATEN,LLEFT,HLEFT,LRGT,HRGT,FROMSTREET,TOSTREET,OWNER,BELTWAY,MAJORRD,NO_LANES,CFCC,ONEWAY,STCL_CODE,UNIQUE_ID,ROUTE_ID,ROUTE_TYPE,LNK_ROUTE_,CITYWORKS,FACILITYID,LEGACYID,INSTALLDAT,WARRANTYDA,CONDITIOND,LOCATION
74,597,0,0,0,22243.2313021999,73006,29, ,Neville ,Rd, ,Neville Rd,"Grand Ave, Neville Rd",0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  6230-01,SNOW,623001, ,81025, ,,,,Neville Rd
75,598,0,0,0,4571.3894787582,74693,65, ,Delafield ,Rd, ,Delafield Rd,Delafield Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  2097-00,SNOW-MA,209700MA, ,81037, ,,,,Delafield Rd
76,599,0,0,0,300.488112881546,66745,140, ,North Braddock & Forest Hills ,Blvd, ,North Braddock & Forest Hills Blvd,Yost Blvd,0,0,0,0, , ,County, , ,0, , ,1630,0,  3237-02,SNOW-MA,323702MA, ,81038, ,,,,N. Braddock & Forest Hills Rd/Yost Blvd
77,181,0,0,0,9239.32290365029,73315,25, ,Unity & Trestle ,Rd, ,Unity & Trestle Rd,Unity-Center Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3316-00,SNOW,331600, ,73315, ,,,,Unity & Trestle Rd
78,183,0,0,0,5800.43917621965,73385,50, ,Stroschein ,Rd, ,Stroschein Rd,Stroschein Rd,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  3298-02,SNOW-MA,329802MA, ,73385, ,,,,Stroschein Rd
79,184,0,0,0,6799.81376361186,73393,65, ,Pitcairn ,Rd, ,Pitcairn Rd,Pitcairn Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3253-00,SNOW-MA,325300MA, ,73393, ,,,,Pitcairn Rd
80,96,0,0,0,3116.72772643595,49050,16, ,Coulterville ,Rd, ,Coulterville Rd,"Coulterville Rd, Coulter Rd",0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4090-01,SNOW,409001, ,49050, ,,,,Coulterville Rd
81,97,0,0,0,3817.23627192853,49155,14, ,Maple Springs ,Dr, ,Maple Springs Dr,Maple Springs Dr,0,0,0,0, , ,County, , ,0, , ,1630,0,  5192-00,SNOW,519200, ,49155, ,,,,Maple Springs Dr
82,98,0,0,0,10650.0004595092,49556,44, ,Buena Vista & Greenock ,Rd, ,Buena Vista & Greenock Rd,Greenock Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4053-00,SNOW,405300, ,49556, ,,,,Buena Vista-Greenock Rd
83,99,0,0,0,5452.82650706835,49972,4, ,Coal Valley ,Rd, ,Coal Valley Rd,"Coal vallley Rd # 4, Chamberlain Rd",0,0,0,0, , ,County, , ,0, , ,1630,0,  5081-04,SNOW,508104, ,49972, ,,,,Coal Valley Rd
84,,0,0,0,704.283193210887,71381,, ,Haymaker (at Jughandle),Rd, ,Haymaker (at Jughandle)Rd,Haymaker Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,3142-04,,314204,,,,,,,
85,568,0,0,0,2142.78078317393,56286,4, ,Newton & Rodi ,Rd, ,Newton & Rodi Rd,Jefferson Rd,0,0,0,0, , , , ,Yes,0, , ,1630,0,  3234-01,SNOW,323401, ,80352, ,,,,Newton & Rodi Rd/ Jefferson Rd
86,190,0,0,0,8745.6105234071,73662,112, ,Wall ,Rd, ,Wall Rd,Wall Ave,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4321-00,SNOW,432100, ,73662, ,,,,Wall Rd
87,100,0,0,0,7227.14762042983,50184,3, ,Coulterville ,Rd, ,Coulterville Rd,Coulterville Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4090-02,SNOW,409002, ,50184, ,,,,Coulterville Rd
88,101,0,0,0,8363.70768388238,50849,25, ,Brownsville & Library ,Rd, ,Brownsville & Library Rd,Brownsville & Library Rd (Piney Fork),0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5049-00,SNOW,504900, ,50849, ,,,,Brownsville / Library Rd
89,102,0,0,0,6820.60983826709,51157,16, ,Buena Vista & Lovedale ,Rd, ,Buena Vista & Lovedale Rd,Broadlawn Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4054-00,SNOW,405400, ,51157, ,,,,Buena Vista-Lovedale Rd
90,103,0,0,0,6423.67635504272,51272,45, ,Scotia Hollow ,Rd, ,Scotia Hollow Rd,Scotia Hollow Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  4277-00,SNOW,427700, ,51272, ,,,,Scotia Hollow Rd
91,104,0,0,0,12485.3870645799,51318,13, ,Rock Run ,Rd, ,Rock Run Rd,Rock Run Rd,0,0,0,0, , , , , ,0, , ,1630,0,  4267-00,SNOW,426700, ,51318, ,,,,Rock Run Rd
