X,Y,BM_Height,Easting,Northing,OBJECTID
-6.08475510667139,54.1888096138111,BM 173.47,325070.345,328340.638,3779
-6.17585082186791,54.5645298910568,BM 173.56,318041.739,370000.056,3780
-5.87565556074756,54.5560564622528,BM 173.59,337485.382,369602.404,3781
-7.26612728086427,54.4692343016173,BM 173.62,247631.14,358108.913,3782
-5.9852445510344,54.932065985426,BM 173.66,329193.966,411243.456,3783
-7.31992336754899,54.2854058065022,BM 173.77,244340.724,337611.285,3784
-5.94716287562893,54.7258966228746,BM 173.82,332307.117,388367.696,3785
-7.50615985634239,54.4129787190914,BM 173.88,232112.05,351710.996,3786
-7.50615985634239,54.4129787190914,BM 173.88,232112.05,351710.996,3787
-6.22169705709666,54.1430102158375,BM 173.98,316260.43,323009.622,3788
-6.76886803744058,54.2050463366579,BM 174.13,280384.654,329153.07,3789
-7.13544764998835,54.5105526733209,BM 174.18,256047.408,362804.455,3790
-7.03333197604069,54.6524787782084,BM 174.41,262444.154,378688.998,3791
-7.01485187606785,55.0054397989896,BM 174.43,263084.454,417996.771,3792
-7.31377867244111,54.293666975477,BM 174.44,244731.963,338534.727,3793
-6.07318380213174,54.6776769945351,BM 174.51,324336.364,382770.492,3794
-6.07611176123371,54.9006860529639,BM 174.58,323466.166,407586.793,3795
-6.67816634131878,54.2316674998829,BM 174.73,286247.485,332223.1,3796
-6.99542788985843,54.6547578503617,BM 174.75,264887.05,378977.038,3797
-6.71591359298007,54.8876065072916,BM 174.82,282452.306,405190.358,3798
-6.50275208831994,54.1438623583047,BM 174.84,297892.954,322678.773,3799
-7.32048278185914,54.2774612969656,BM 174.95,244312.811,336726.617,3800
-7.32048278185914,54.2774612969656,BM 174.95,244312.811,336726.617,3801
-5.98612502794663,54.2259287598222,BM 174.95,331389.973,332650.773,3802
-6.93391445844509,54.609509565555,BM 174.99,268933.661,373998.8,3803
-6.41955435554289,54.8941515634874,BM 174.99,301452.744,406307.951,3804
-6.809610715025,54.7561259664223,BM 175.03,276688.409,390448.198,3805
-6.31866880803963,54.1224199962579,BM 175.06,309978.452,320562.874,3806
-5.97684839917738,54.3046174004792,BM 175.28,331743.737,341425.478,3807
-6.05626240524631,55.1730257836733,BM 175.28,323896.096,437935.065,3808
-6.05626240524631,55.1730257836733,BM 175.28,323896.096,437935.065,3809
-6.0054243552388,54.2235213264496,BM 175.60,330139.038,332347.107,3810
-7.03258490151047,54.6766200872395,BM 175.63,262455.341,381376.977,3811
-7.02817464132665,54.6770831461554,BM 175.70,262739.12,381432.453,3812
-7.13388324327423,54.6714450231758,BM 175.86,255927.964,380715.554,3813
-6.44142001052589,54.9614967881341,BM 175.91,299882.944,413772.841,3814
-7.06604796782736,55.0157607882693,BM 175.92,259793.338,419100.767,3815
-7.06604796782736,55.0157607882693,BM 175.92,259793.338,419100.767,3816
-6.5530183674029,54.2615416320305,BM 175.96,294339.882,335708.223,3817
-6.72933578682553,54.2118335558812,BM 176.03,282950.557,329954.216,3818
-6.69983650381533,54.728097666978,BM 176.05,283813.388,387453.781,3819
-6.03843545527519,54.9396092457347,BM 176.09,325761.347,411986.174,3820
-7.85849258787738,54.6818178092146,BM 176.22,209175.791,381534.628,3821
-7.85849258787738,54.6818178092146,BM 176.22,209175.791,381534.628,3822
-6.23664389647874,54.2998626034841,BM 176.27,314847.648,340442.251,3823
-7.24658630127111,54.3455496857726,BM 176.38,249045.41,344354.545,3824
-6.14478566821555,54.7972410708664,BM 176.44,319366.243,395953.926,3825
-7.19777975239424,54.8812960832067,BM 176.45,251538.281,404027.121,3826
-5.87685152942413,54.550860834656,BM 176.45,337425.486,369021.823,3827
-6.20341046011437,54.1519494629663,BM 176.55,317430.035,324034.74,3828
-6.21260778180584,54.1500714387543,BM 176.63,316834.471,323810.485,3829
-6.97172985005985,54.686619393154,BM 176.79,266364.6,382545.863,3830
-7.06102124766852,54.8724056619003,BM 176.93,260329.081,403146.587,3831
-6.11653551258014,54.5901437288089,BM 176.94,321801.638,372952.063,3832
-6.76381803883,54.2039449044871,BM 176.96,280716.316,329036.233,3833
-7.26675937613714,54.290911092303,BM 177.03,247796.771,338258.779,3834
-6.03468808486002,54.1153837149018,BM 177.03,328565.514,320258.773,3835
-5.75600976499569,54.6158536364047,BM 177.12,345012.186,376497.855,3836
-6.07457090340217,55.1339952361241,BM 177.18,322849.581,433558.286,3837
-6.07457090340217,55.1339952361241,BM 177.18,322849.581,433558.286,3838
-6.07457090340217,55.1339952361241,BM 177.18,322849.581,433558.286,3839
-7.02905517246944,54.6518684600857,BM 177.24,262721.141,378624.869,3840
-7.24904188442325,54.4668196504799,BM 177.25,248741.768,357851.815,3841
-7.16159849606909,54.8447695704728,BM 177.27,253909.184,399988.165,3842
-6.03180325624785,54.3101336315702,BM 177.42,328149.818,341938.162,3843
-6.86390255050983,54.7537065497103,BM 177.53,273197.489,390120.897,3844
-6.86390255050983,54.7537065497103,BM 177.53,273197.489,390120.897,3845
-6.12059566325482,54.7692981590591,BM 177.54,321005.229,392885.233,3846
-6.75174597762125,54.2048412490018,BM 177.73,281502.282,329149.859,3847
-6.69944191694178,54.7338884637682,BM 177.86,283826.857,388098.843,3848
-6.31910401748794,54.1259289796409,BM 177.90,309940.711,320952.734,3849
-7.25896091287354,54.4693505788353,BM 178.00,248095.647,358126.726,3850
-6.1765414224287,54.5681992743605,BM 178.00,317986.477,370407.303,3851
-6.87465004031853,54.622745373996,BM 178.02,272739.281,375531.848,3852
-7.28890076077129,54.4800716103959,BM 178.03,246142.39,359300.107,3853
-5.9827404711602,54.3074321044974,BM 178.03,331351.286,341727.746,3854
-6.75900127666846,55.061206795572,BM 178.11,279344.455,424465.35,3855
-5.94377176779438,54.7296550897064,BM 178.13,332513.302,388792.407,3856
-7.06118784295226,54.7335888029658,BM 178.23,260525.397,387693.513,3857
-7.06118784295226,54.7335888029658,BM 178.23,260525.397,387693.513,3858
-6.44557467947055,55.0102186309633,BM 178.26,299496.275,419190.305,3859
-6.0619937942195,55.1803437021263,BM 178.30,323508.33,438739.453,3860
-6.0619937942195,55.1803437021263,BM 178.30,323508.33,438739.453,3861
-6.0619937942195,55.1803437021263,BM 178.30,323508.33,438739.453,3862
-6.36491978675497,54.1574439689781,BM 178.36,306864.502,324390.006,3863
-7.02175974816704,54.6448388241116,BM 178.49,263202.935,377848.897,3864
-6.43897407358034,54.9618136733333,BM 178.53,300038.818,413811.608,3865
-7.95637917809162,54.3895949631492,BM 178.70,202882.274,348996.348,3866
-7.95637917809162,54.3895949631492,BM 178.70,202882.274,348996.348,3867
-7.95637917809162,54.3895949631492,BM 178.70,202882.274,348996.348,3868
