X,Y,TEMA,SURVEY,TEXTSTRING,OBJECTID
-7.24732748432737,55.0264828487036,A_CLASS,20040709,A 2,246
-7.12991928035806,55.0334234538355,A_CLASS,20040709,A 2,247
-7.36799113076715,54.9543598962929,A_CLASS,20040709,A 5,248
-7.27924256417541,54.9926633519947,A_CLASS,20040709,A 514,249
-7.29321919269681,55.0174891915471,A_CLASS,20040709,A 515,250
-7.24022632637407,54.9570305598327,A_CLASS,20040709,A 6,251
-7.34809771413634,54.6698695407948,A_CLASS,20041001,A 5,252
-7.37130287366373,54.7221611715236,A_CLASS,20041001,A 5,253
-7.14153810482014,54.4918912173532,A_CLASS,20060307,A 5,254
-7.23950291618161,54.5457993699516,A_CLASS,20060307,A 5,255
-7.15265036280968,54.6494690910217,A_CLASS,20060307,A 505,256
-7.32758370577984,54.5865361853593,A_CLASS,20060307,A 32,257
-7.32178744222405,54.6055599778199,A_CLASS,20060307,A 5,258
-7.34883805183401,54.3453837890209,A_CLASS,20060307,A 4,259
-7.23850617756749,54.3902433576505,A_CLASS,20060307,A 4,260
-7.10504496750128,54.4387172510086,A_CLASS,20060307,A 4,261
-7.09710416281175,54.4276065326818,A_CLASS,20060307,A 28,262
-7.34207666567183,54.1278907829499,A_CLASS,20050118,A 3,263
-7.275084313323,54.1579772537226,A_CLASS,20050118,A 3,264
-7.30601215378279,54.1739899168435,A_CLASS,20050118,A 34,265
-7.42492899542365,54.873325335525,A_CLASS,20040709,A 5,266
-7.38826790926219,54.9676448027791,A_CLASS,20040709,A 40,267
-7.45978214083595,54.8377429246356,A_CLASS,20040709,A 5,268
-7.47689639941833,54.8312697621836,A_CLASS,20040709,A 38,269
-7.47511005150374,54.7969834180722,A_CLASS,20041001,A 5,270
-7.48158598140181,54.814665803367,A_CLASS,20040709,A 5,271
-7.66987514182551,54.4906961586776,A_CLASS,20060307,A 35,272
-7.40575963705668,54.5455948706034,A_CLASS,20060307,A 32,273
-7.54472482040272,54.4992077994331,A_CLASS,20060307,A 32,274
-7.68519854091221,54.3153309841965,A_CLASS,20060303,A 32,275
-7.5950033446249,54.3217401564868,A_CLASS,20060303,A 4,276
-7.62740975670323,54.4072279812849,A_CLASS,20060307,A 32,277
-7.59109004725271,54.4814875329268,A_CLASS,20060307,A 32,278
-7.65433339185659,54.3255312614312,A_CLASS,20060303,A 509,279
-7.68074139272463,54.3236384471387,A_CLASS,20060303,A 4,280
-7.47380674338437,54.300086098108,A_CLASS,20060303,A 4,281
-7.418755601847,54.231496806236,A_CLASS,20050118,A 34,282
-7.46275887022131,54.2971504681499,A_CLASS,20060303,A 4,283
-7.5488177420422,54.1770243336178,A_CLASS,20050118,A 509,284
-7.63672086520999,54.2686193008852,A_CLASS,20060303,A 509,285
-7.46635287125452,54.2865710158464,A_CLASS,20060303,A34,286
-7.68888987391089,54.3020178280621,A_CLASS,20060303,A 32,287
-8.01440205553204,54.4829489684984,A_CLASS,20060306,A 47,288
-8.05968670509616,54.4692560970372,A_CLASS,20060306,A 46,289
-7.69814074803603,54.2619382926111,A_CLASS,20060303,A32,290
-7.79940273583901,54.2975406443978,A_CLASS,20060303,A4,291
-7.6973710775133,54.2947276630374,A_CLASS,20060303,A32,292
-7.70208892366461,54.2164230513407,A_CLASS,20060303,A32,293
-7.92358725967971,54.4713839167098,A_CLASS,20060306,A 46,294
-7.69726965535778,54.3881902161856,A_CLASS,20060306,A 46,295
-7.76258503370371,54.540599050584,A_CLASS,20060306,A 35,296
-7.83886085111738,54.512897645224,A_CLASS,20060306,A 47,297
-5.52649866805913,54.5368658781694,B_CLASS,20031024,B 5,298
-5.49095149079302,54.4656881540565,B_CLASS,20031024,B 173,299
-5.73982140842783,54.8409190736583,B_CLASS,20050202,B 90,300
-5.75628216658646,54.8287753186641,B_CLASS,20050202,B 90,301
-5.77793569056594,54.7533229434385,B_CLASS,20031029,B 149,302
-5.75575157442794,54.7554982893542,B_CLASS,20031029,B 90,303
-5.71287892317178,54.7683434545948,B_CLASS,20031029,B 150,304
-5.82287566739867,54.7346760412847,B_CLASS,20031029,B 90,305
-5.71734009932616,54.6600405683208,B_CLASS,20031029,B 20,306
-5.60073562439931,54.6511202672287,B_CLASS,20031029,B 21,307
-5.62779500277185,54.6724550044423,B_CLASS,20031029,B 511,308
-5.81690559893885,54.7935667533404,B_CLASS,20050202,B 149,309
-5.71329265599976,54.8133633420207,B_CLASS,20050202,B 150,310
-5.72022708967942,54.8051898700978,B_CLASS,20050202,B 90,311
-5.80062149593853,54.5355079498685,B_CLASS,20050702,B 178,312
-5.83707808581051,54.5251727000251,B_CLASS,20050702,B 178,313
-5.78657033574287,54.6183164012682,B_CLASS,20050702,B 170,314
-5.64316029962232,54.5979073952665,B_CLASS,20050702,B 172,315
-5.57021031331213,54.6050504926467,B_CLASS,20050702,B 172,316
-5.71682397889034,54.43230835626,B_CLASS,20031024,B 6,317
-5.7426724431594,54.3988702140182,B_CLASS,20031024,B 7,318
-5.65366049538053,54.2931119700755,B_CLASS,20060306,B 1,319
-5.80209145594134,54.3998246936456,B_CLASS,20031024,B 7,320
-5.79952321458624,54.3701734789034,B_CLASS,20031024,B 2,321
-5.84091897518019,54.4621644835227,B_CLASS,20031024,B 6,322
-5.77633175619832,54.4571710618023,B_CLASS,20031024,B 6,323
-5.67774075771698,54.2833465240806,B_CLASS,20060306,B 176,324
-6.06650248583871,55.1309424742814,B_CLASS,20050124,B 92,325
-6.06608341186343,55.1148716110022,B_CLASS,20050124,B 92,326
-5.9851523111412,54.9331456230332,B_CLASS,20050202,B 97,327
-5.88031671418727,54.8910402338606,B_CLASS,20050202,B 148,328
-5.84693365918461,54.7928479737786,B_CLASS,20050202,B 99,329
-5.88486846080868,54.8066527028637,B_CLASS,20050202,B 100,330
-5.82495283814425,54.8214407023015,B_CLASS,20050202,B 99,331
-6.08349628325716,54.6998125598525,B_CLASS,20031015,B 95,332
-6.13669335937953,54.6771703511285,B_CLASS,20031015,B 39,333
-6.08453833608664,54.7235489487582,B_CLASS,20031015,B 95,334
-6.13016328225071,54.7813294403359,B_CLASS,20031015,B 59,335
