WARD93_ID,WARDS,DATASET,OSNI_SCALE,LGD,AREA_SQKMS,AREA_SQM,PERIM_M,PERIM_KM,OBJECTID
1421,MOYGASHEL,WARDS 1993,1:50000,Dungannon,6.08701633288,6087016.33288,14463.8958246,14.4638958246,285
1422,MULLAGHMORE,WARDS 1993,1:50000,Dungannon,4.08778934712,4087789.34712,10636.2401236,10.6362401236,286
1423,WASHING BAY,WARDS 1993,1:50000,Dungannon,41.0004618408,41000461.8408,30898.32331,30.89832331,287
1501,BALLINAMALLARD,WARDS 1993,1:50000,Fermanagh,44.6658564703,44665856.4703,44973.4787726,44.9734787726,288
1502,BELCOO AND GARRISON,WARDS 1993,1:50000,Fermanagh,202.827199391,202827199.391,100722.414152,100.722414152,289
1503,BELLEEK AND BOA,WARDS 1993,1:50000,Fermanagh,173.060241794,173060241.794,95493.8898404,95.4938898404,290
1507,DERRYGONNELLY,WARDS 1993,1:50000,Fermanagh,160.584342857,160584342.857,79107.3002087,79.1073002087,291
1514,IRVINESTOWN,WARDS 1993,1:50000,Fermanagh,17.2658416557,17265841.6557,22464.6615037,22.4646615037,292
1523,TEMPO,WARDS 1993,1:50000,Fermanagh,90.7431715982,90743171.5982,57944.2235398,57.9442235398,293
1525,"KESH, EDERNEY and LACK",WARDS 1993,1:50000,Fermanagh,112.810985131,112810985.131,61074.026963,61.074026963,294
1526,LISNARRICK,WARDS 1993,1:50000,Fermanagh,71.9274827056,71927482.7056,47118.5004891,47.1185004891,295
1601,ANTIVILLE,WARDS 1993,1:50000,Larne,0.610461042499,610461.042499,4262.39796101,4.26239796101,296
1602,BALLYCARRY,WARDS 1993,1:50000,Larne,33.366944554,33366944.554,28964.9454248,28.9649454248,297
1603,BALLYLORAN,WARDS 1993,1:50000,Larne,0.29482086345,294820.86345,3031.73300663,3.03173300663,298
1604,BLACKCAVE,WARDS 1993,1:50000,Larne,0.910622398043,910622.398043,4703.686443,4.703686443,299
1605,CARNCASTLE,WARDS 1993,1:50000,Larne,9.0780467148,9078046.7148,18234.7114055,18.2347114055,300
1606,CARNLOUGH,WARDS 1993,1:50000,Larne,58.2732595232,58273259.5232,41567.9829327,41.5679829327,301
1608,CRAIGY HILL,WARDS 1993,1:50000,Larne,0.277484468999,277484.468999,2271.80571264,2.27180571264,302
1609,GARDENMORE,WARDS 1993,1:50000,Larne,1.21206166879,1212061.66879,5389.17177796,5.38917177796,303
1610,GLENARM,WARDS 1993,1:50000,Larne,107.191879333,107191879.333,54709.4279008,54.7094279008,304
1611,GLYNN,WARDS 1993,1:50000,Larne,35.0498347121,35049834.7121,33073.9420783,33.0739420783,305
1612,HARBOUR,WARDS 1993,1:50000,Larne,3.13266435096,3132664.35096,11531.5544116,11.5315544116,306
1613,ISLAND MAGEE,WARDS 1993,1:50000,Larne,31.7390273265,31739027.3265,30444.1979292,30.4441979292,307
1614,KILWAUGHTER,WARDS 1993,1:50000,Larne,65.8724796844,65872479.6844,49915.3753461,49.9153753461,308
1615,TOWN PARKS,WARDS 1993,1:50000,Larne,0.448688509461,448688.509461,3160.42052504,3.16042052504,309
1616,CENTRAL,WARDS 1993,1:50000,Larne,1.01677504982,1016775.04982,6246.25740233,6.24625740233,310
1701,AGHANLOO,WARDS 1993,1:50000,Limavady,76.1302697486,76130269.7486,39393.9222962,39.3939222962,311
1702,BALLYKELLY,WARDS 1993,1:50000,Limavady,20.4843369406,20484336.9406,30855.6430475,30.8556430475,312
1703,ENAGH,WARDS 1993,1:50000,Limavady,0.740026024657,740026.024657,4298.5527426,4.2985527426,313
1704,COOLESSAN,WARDS 1993,1:50000,Limavady,0.83034353747,830343.53747,4323.07317168,4.32307317168,314
1705,DUNGIVEN,WARDS 1993,1:50000,Limavady,2.37831471935,2378314.71935,8831.73667504,8.83173667504,315
1707,FEENY,WARDS 1993,1:50000,Limavady,94.4987098654,94498709.8654,64514.6400685,64.5146400685,316
1708,FOREST,WARDS 1993,1:50000,Limavady,38.8912770201,38891277.0201,38558.4970351,38.5584970351,317
1709,GLACK,WARDS 1993,1:50000,Limavady,56.1240684933,56124068.4933,41639.1808985,41.6391808985,318
1710,GRESTEEL,WARDS 1993,1:50000,Limavady,19.478957148,19478957.148,32753.4937676,32.7534937676,319
1711,MAGILLIGAN,WARDS 1993,1:50000,Limavady,78.859520074,78859520.074,52539.1429545,52.5391429545,320
1712,RATHBRADY,WARDS 1993,1:50000,Limavady,0.793886341301,793886.341301,4047.85236532,4.04785236532,321
